task_id,event_id,question,level
1,2,В каком году Рюрик был призван на престол?,3
2,8,Год посольства княгини Ольги в Константинополь?,4
3,11,Назовите год крещения Руси,1
4,13,В каком году была создана знаменитая Русская Правда Ярославичей?,3
5,16,В каком году произошел Любеческий съезд?,4
6,17,Назовите годы правения Владимира Мономаха,5
7,22,В каком году в летописи впервые упоминается город Москва?,1
8,27,Назовите год битвы на реке Калке,2
9,30,В каком году произошла Невская битва?,1
10,31,В каком году произошло Ледовое побоище?,1
11,155,Когда произошло Бородинское сражение?,1
12,89,В каком году произошел Медный бунт в Москве?,2
13,144,Годы правления Александра 1?,4
14,81,Назовите год, в котором произошел Соляной бунт,2
